,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d,dt
1885,381.0,DEGODego Finance,DEGO,"$70,903,626.52",$8.2375,"8,607,383 DEGO *","$25,365,938.99",0.66%,14.41%,66.39%,20210530
1886,142.0,CELRCeler Network,CELR,"$249,626,985.57",$0.04457,"5,601,205,665 CELR *","$60,637,809.95",-0.82%,2.25%,66.38%,20210530
1887,430.0,SLPSmall Love Potion,SLP,"$55,035,655.59",$0.1362,"404,090,637 SLP *","$44,513,400.15",-3.55%,3.85%,65.22%,20210530
1888,67.0,ENJEnjin Coin,ENJ,"$1,274,288,769.05",$1.5273,"834,331,121 ENJ *","$486,392,993.54",-0.87%,13.20%,60.20%,20210530
1889,339.0,RAMPRAMP,RAMP,"$85,840,785.93",$0.2345,"366,010,517 RAMP *","$10,302,677.62",-0.23%,4.10%,57.71%,20210530
1890,114.0,SKLSKALE Network,SKL,"$407,850,781.94",$0.4254,"958,853,025 SKL *","$101,942,257.41",5.78%,8.55%,57.59%,20210530
1891,203.0,CTCCreditcoin,CTC,"$2,290,742,235.57",$4.0546,"564,970,555 CTC","$12,420,071.32",0.25%,0.42%,55.26%,20210530
1892,147.0,PROMPrometeus,PROM,"$240,509,571.49",$14.62,"16,450,000 PROM *","$14,416,959.39",-0.48%,12.03%,54.32%,20210530
1893,10.0,UNIUniswap,UNI,"$14,562,759,375.83",$25.74,"565,708,400 UNI *","$782,067,311.97",-1.17%,11.06%,52.90%,20210530
1894,271.0,MXMX Token,MX,"$124,052,250.48",$1.1647,"106,509,311 MX *","$17,233,243.70",-1.43%,-1.92%,52.54%,20210530
1895,139.0,NMRNumeraire,NMR,"$261,837,915.20",$52.67,"4,971,550 NMR *","$162,380,616.19",-0.26%,-3.27%,52.26%,20210530
1896,43.0,LUNATerra,LUNA,"$2,537,354,104.08",$6.2182,"408,052,284 LUNA *","$356,284,220.63",-0.22%,13.25%,51.38%,20210530
1897,117.0,WRXWazirX,WRX,"$387,165,037.05",$1.3179,"293,763,596 WRX *","$43,942,309.25",0.40%,-1.52%,49.48%,20210530
1898,171.0,DODODODO,DODO,"$175,993,401.90",$1.5920,"110,551,965 DODO *","$55,654,193.14",-1.55%,16.16%,47.81%,20210530
1899,269.0,SUNSUN,SUN,"$125,145,748.19",$24.72,"5,062,528 SUN","$91,836,313.76",0.60%,0.79%,47.07%,20210530
1900,758.0,DVPDecentralized Vulnerability Platform,DVP,"$13,963,006.17",$0.04713,"296,255,480 DVP","$34,109,496.69",-4.29%,55.59%,44.04%,20210523
1901,153.0,HIVEHive,HIVE,"$230,360,294.46",$0.5679,"405,621,020 HIVE *","$37,031,858.30",54.87%,28.89%,20.80%,20210523
1902,631.0,NEWNewton,NEW,"$22,497,961.61",$0.001094,"20,571,994,592 NEW","$23,037,442.67",-0.63%,-8.80%,12.71%,20210523
1903,406.0,TRUTrueFi,TRU,"$53,517,445.64",$0.3806,"140,608,485 TRU *","$38,812,958.76",-0.23%,-6.18%,9.58%,20210523
1904,302.0,VAIVai,VAI,"$95,831,711.63",$0.9492,"100,956,831 VAI *","$37,633,257.19",1.69%,3.63%,8.79%,20210523
1905,346.0,QCQcash,QC,"$72,416,693.57",$0.1574,"460,000,200 QC *","$1,741,282,678.66",-0.05%,0.01%,4.27%,20210523
1906,315.0,GUSDGemini Dollar,GUSD,"$86,111,437.44",$1.0062,"85,578,829 GUSD *","$11,705,217.89",1.06%,1.34%,2.80%,20210523
1907,203.0,FEIFei Protocol,FEI,"$2,027,707,403.79",$0.9933,"2,041,429,433 FEI *","$280,461,764.80",1.25%,2.79%,1.63%,20210523
1908,3.0,USDTTether,USDT,"$59,533,859,940.62",$1.0017,"59,434,391,387 USDT *","$166,357,484,551.63",0.01%,0.01%,0.17%,20210523
1909,25.0,DAIDai,DAI,"$4,249,414,923.73",$1.0018,"4,241,687,762 DAI *","$1,490,794,604.48",0.04%,0.09%,0.17%,20210523
